date,open,high,low,close,volume
2019-10-25,7926.6001,8033.29,7926.6001,8029.2202,1911580000
2019-10-28,8071.3901,8119.73,8070.8999,8110.6699,1959920000
2019-10-29,8101.5498,8108.6099,8045.6401,8047.5098,1842720000
2019-10-30,8056.8999,8096.3301,8017.9199,8083.1099,1936060000
2019-10-31,8100.6201,8110.4399,8041.6499,8083.8301,2276140000
2019-11-01,8121.9502,8161.98,8111.73,8161.1699,2071350000
2019-11-04,8218.9297,8228.3301,8197.3203,8210.6602,2166830000
2019-11-05,8225.3496,8229.0898,8191.0498,8210.1797,2327420000
2019-11-06,8204.3398,8204.3398,8157.3599,8196.0303,2342570000
2019-11-07,8237.6797,8271.8203,8198.9102,8219.6504,2403680000
2019-11-08,8208.3701,8256.29,8186.3101,8255.8896,1982140000
2019-11-11,8212.3701,8245.8896,8202.3604,8241.9102,1719300000
2019-11-12,8249.6201,8293.1797,8238.3301,8263.79,2001440000
2019-11-13,8235.6797,8274.6104,8233.3799,8259.8096,2180010000
2019-11-14,8238.8496,8264.9404,8212.5898,8257.8301,2113840000
2019-11-15,8303.8398,8315.9004,8284.2002,8315.5195,2199480000
2019-11-18,8303.2197,8340.4102,8274.6797,8328.4805,2053260000
2019-11-19,8357.4297,8357.7998,8308.2803,8338.7402,2094030000
2019-11-20,8315.5498,8339.2598,8226.25,8283.75,2608780000
2019-11-21,8273.9502,8282.3301,8242.2197,8265.6201,2073720000
2019-11-22,8287.25,8292.1104,8229.4902,8272.0498,1885730000
2019-11-25,8309.5498,8372.8203,8309.5498,8371.9297,2262750000
2019-11-26,8374.2598,8398.04,8364.1104,8385.75,2439370000
2019-11-27,8407.2305,8445.6104,8399.6299,8444.71,1748520000
2019-11-29,8422.0195,8435.96,8402.1299,8403.6797,1099090000
2019-12-02,8409.8701,8409.8701,8274.6104,8309.2598,2240300000
2019-12-03,8201.6299,8258.4004,8167.3599,8254.7402,2318760000
